Frequency - Fgen,Phase - Fgen,Phase - R
41449.6,0.0323404,0.293006
41499.4,0.0281523,0.28856
41499.4,0.0320873,0.292991
41499.2,0.0262428,0.286832
41499.4,0.0256289,0.286307
41499.4,0.0297709,0.290728
41499.3,0.0276553,0.288031
41499.3,0.0282784,0.28894
41549.4,0.0271497,0.287525
41549.5,0.0220573,0.2831
41549.4,0.0273406,0.287819
41549.5,0.0234783,0.283772
41549.5,0.031512,0.29202
41549.5,0.0266422,0.287379
41549.5,0.034436,0.295025
41599.3,0.0348558,0.295832
41599.3,0.0345028,0.295155
41599.5,0.0253764,0.286758
41599.4,0.0346044,0.29562
41599.3,0.0244671,0.285185
41599.5,0.0256467,0.287025
41649.5,0.0323478,0.294197
41649.6,0.0232624,0.285128
41649.6,0.0298015,0.291179
41649.6,0.0343119,0.296094
41649.5,0.0322379,0.293465
41649.5,0.0266929,0.288426
41649.6,0.0307654,0.292532
41699.4,0.0263029,0.28812
41699.2,0.0352738,0.297165
41699.4,0.0210113,0.28284
41699.4,0.0271231,0.288801
41699.4,0.0327672,0.295033
41699.5,0.0321944,0.294104
41749.7,0.0330542,0.295691
41749.7,0.0247717,0.287215
41749.7,0.0349761,0.297701
41749.6,0.0299348,0.292415
41749.5,0.0222252,0.284642
41749.6,0.0243638,0.286996
41749.8,0.0280169,0.291056
41799.8,0.0235341,0.287119
41799.7,0.0278461,0.291288
41799.7,0.0339296,0.297153
41799.6,0.0319009,0.294895
41799.7,0.0348753,0.298012
41799.7,0.0315356,0.294496
41849.6,0.028939,0.292373
41849.5,0.030358,0.293715
41849.6,0.0307039,0.294044
41849.6,0.0301187,0.293452
41849.5,0.0293558,0.292599
41849.5,0.0325529,0.295858
41849.4,0.0306162,0.293495
41899.6,0.035274,0.298517
41899.5,0.0336305,0.296952
41899.5,0.0282127,0.291142
41899.4,0.0328341,0.295784
41899.6,0.0357818,0.299161
41899.6,0.0257065,0.289062
41949.4,0.0311295,0.294278
41949.5,0.029063,0.292469
41949.4,0.0273306,0.290625
41949.4,0.0287043,0.292237
41949.5,0.0263937,0.289884
41949.5,0.0246785,0.288365
41949.5,0.0284544,0.292076
41999.6,0.0347309,0.298654
41999.5,0.0271789,0.290816
41999.5,0.0335708,0.2972
41999.5,0.0320214,0.295613
41999.7,0.0334143,0.297586
41999.5,0.0243879,0.288009
41999.5,0.0262926,0.28988
42049.5,0.0246376,0.288857
42049.6,0.0274423,0.29157
42049.4,0.0347676,0.298853
42049.5,0.0290251,0.293034
42049.5,0.0289447,0.293318
42049.5,0.0362541,0.300529
42099.5,0.035043,0.299394
42099.5,0.0250391,0.289168
42099.6,0.0274098,0.291774
42099.6,0.0224187,0.286867
42099.6,0.029458,0.293853
42099.5,0.0297556,0.294024
42099.7,0.0308928,0.295443
42149.6,0.033348,0.298317
42149.6,0.0342058,0.299087
42149.5,0.0349638,0.299693
42149.5,0.0304698,0.295423
42149.6,0.0316347,0.296694
42149.6,0.0235244,0.288675
42199.6,0.0350372,0.300264
42199.7,0.0319665,0.297179
42199.6,0.0315391,0.296778
42199.7,0.0245824,0.289725
42199.5,0.02438,0.289214
42199.6,0.0293934,0.294416
42199.6,0.0309213,0.295967
42249.5,0.0239543,0.289441
42249.5,0.024335,0.289761
42249.5,0.027022,0.292276
42249.5,0.0224474,0.287799
42249.6,0.0251226,0.290447
42249.5,0.0335771,0.29881
42299.5,0.0229956,0.288833
42299.5,0.0319677,0.297728
42299.3,0.0360342,0.301435
42299.4,0.030587,0.296422
42299.6,0.0322155,0.29825
42299.4,0.0263349,0.291916
42299.5,0.0224548,0.288143
42349.7,0.0226022,0.289078
42349.6,0.0321229,0.29861
42349.5,0.0347265,0.301126
42349.5,0.0294965,0.29545
42349.6,0.0346699,0.301236
42349.7,0.0281681,0.294423
42349.6,0.0317162,0.298166
42399.5,0.0254192,0.291825
42399.5,0.0314347,0.29766
42399.5,0.0232684,0.289719
42399.4,0.0345111,0.300632
42399.4,0.0314827,0.297965
42399.3,0.029516,0.295091
42449.6,0.0305994,0.297158
42449.6,0.0285799,0.295448
42449.6,0.033047,0.299743
42449.6,0.0331913,0.299958
42449.6,0.0274739,0.294274
42449.5,0.024611,0.29133
42449.6,0.0329721,0.299784
42499.5,0.0320512,0.298998
42499.5,0.0232279,0.29043
42499.6,0.0329114,0.300038
42499.5,0.0303722,0.297575
42499.5,0.0243234,0.291297
42499.4,0.0231175,0.290089
42549.6,0.0311525,0.29853
42549.5,0.0276585,0.294918
42549.6,0.0312656,0.298731
42549.6,0.0277244,0.295057
42549.6,0.0252684,0.292495
42549.6,0.0290422,0.296383
42549.6,0.0263613,0.293763
42599.4,0.0246876,0.292378
42599.4,0.023552,0.291148
42599.5,0.0292055,0.297026
42599.4,0.0352844,0.303082
42599.5,0.0251479,0.293027
42599.4,0.031403,0.299277
42649.4,0.0261686,0.293947
42649.4,0.0281215,0.29567
42649.5,0.0334552,0.301629
42649.4,0.0266336,0.294439
42649.5,0.0305325,0.298702
42649.5,0.0325952,0.300635
42649.3,0.0262548,0.294285
42699.5,0.036409,0.304453
42699.5,0.0332826,0.301462
42699.5,0.0363727,0.304402
