Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
"0,029","2,51838","0,029","-0,000666186","0,029","0,00287676","0,029","2,52096"
"0,0291","2,51613","0,0291","-0,00163244","0,0291","0,0041651","0,0291","2,52031"
"0,0292","2,51967","0,0292","-2,20E-05","0,0292","0,00513136","0,0292","2,52096"
"0,0293","2,51613","0,0293","-0,000988272","0,0293","0,00352093","0,0293","2,52031"
"0,0294","2,51806","0,0294","-0,000988272","0,0294","0,00513136","0,0294","2,52096"
"0,0295","2,51774","0,0295","-0,00131036","0,0295","0,00448719","0,0295","2,52128"
"0,0296","2,51838","0,0296","-0,000666186","0,0296","0,00448719","0,0296","2,5216"
"0,0297","2,51774","0,0297","-0,000988272","0,0297","0,00448719","0,0297","2,5216"
"0,0298","2,51774","0,0298","-0,0003441","0,0298","0,0041651","0,0298","2,51999"
"0,0299","2,5187","0,0299","-0,00131036","0,0299","0,00545345","0,0299","2,52096"
"0,03","2,51645","0,03","-0,0003441","0,03","0,00448719","0,03","2,52031"
"0,0301","2,51806","0,0301","-0,00163244","0,0301","0,00641971","0,0301","2,52064"
"0,0302","2,51742","0,0302","-0,0003441","0,0302","0,00352093","0,0302","2,52096"
"0,0303","2,51742","0,0303","-0,000988272","0,0303","0,00480928","0,0303","2,51999"
"0,0304","2,51645","0,0304","-0,0003441","0,0304","0,0041651","0,0304","2,52064"
"0,0305","2,51709","0,0305","-0,00131036","0,0305","0,00352093","0,0305","2,52096"
