Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.7,2.43818,1.13988,6.21669,5.94852
18999.7,2.43808,1.13975,6.21614,5.94811
18999.7,2.43815,1.1398,6.21616,5.94796
18999.7,2.43812,1.13978,6.21645,5.94825
18999.7,2.43839,1.13975,6.21621,5.94832
18999.6,2.43831,1.13979,6.21684,5.94854
18999.6,2.43843,1.13992,6.2167,5.94854
18999.7,2.43857,1.13994,6.21708,5.9486
18999.7,2.43837,1.13989,6.21662,5.94835
18999.7,2.43814,1.13976,6.2163,5.94801
18999.6,2.43828,1.13987,6.21653,5.94826
18999.7,2.43827,1.13988,6.21659,5.94819
18999.6,2.43845,1.13987,6.21683,5.94808
18999.7,2.43836,1.13979,6.21651,5.94774
18999.7,2.43837,1.13981,6.21653,5.94777
18999.7,2.43839,1.13983,6.21628,5.94758
18999.7,2.43838,1.13983,6.21665,5.94765
18999.6,2.43835,1.1398,6.21618,5.94736
18999.7,2.43805,1.13974,6.216,5.94689
18999.6,2.43797,1.13974,6.21596,5.94675
18999.7,2.43825,1.13972,6.21584,5.94678
18999.6,2.43852,1.13986,6.21673,5.94746
18999.7,2.43826,1.13973,6.2162,5.94693
18999.6,2.4386,1.13983,6.21664,5.94703
18999.7,2.43839,1.13978,6.21632,5.947
18999.7,2.43828,1.13976,6.21604,5.94665
18999.7,2.43845,1.1398,6.21622,5.94676
18999.7,2.43827,1.13982,6.21633,5.94678
18999.7,2.43823,1.13974,6.21608,5.94634
18999.7,2.43852,1.13974,6.21615,5.94642
18999.6,2.43828,1.13965,6.21563,5.94584
18999.7,2.43857,1.13965,6.21591,5.94591
18999.7,2.4385,1.13958,6.21579,5.94554
18999.7,2.43802,1.1396,6.21554,5.94538
18999.7,2.438,1.13969,6.21544,5.94559
18999.7,2.43842,1.13964,6.216,5.94595
18999.7,2.43826,1.13966,6.21596,5.9457
18999.7,2.43824,1.13963,6.21577,5.94559
18999.6,2.43805,1.13963,6.21538,5.94522
18999.7,2.43852,1.13963,6.21568,5.94542
18999.7,2.43797,1.13956,6.21524,5.94476
18999.7,2.43841,1.13955,6.21533,5.94485
18999.7,2.43828,1.13966,6.21564,5.94484
18999.7,2.43831,1.1396,6.21543,5.94471
18999.7,2.43839,1.13958,6.21542,5.94442
18999.7,2.43842,1.13961,6.21556,5.94437
18999.7,2.43829,1.13961,6.21556,5.94432
18999.6,2.43842,1.13962,6.21545,5.94452
18999.7,2.4385,1.13974,6.21613,5.94501
18999.7,2.43841,1.13957,6.21538,5.94428
18999.7,2.43807,1.13955,6.21503,5.94405
18999.7,2.43853,1.13955,6.2155,5.94433
18999.6,2.43833,1.13962,6.21535,5.94409
18999.7,2.43817,1.13963,6.21531,5.94395
18999.7,2.43808,1.13949,6.21515,5.94369
18999.7,2.43823,1.13951,6.21483,5.94333
18999.7,2.43811,1.13946,6.2146,5.94309
18999.7,2.43827,1.1395,6.21516,5.94355
18999.7,2.43815,1.1395,6.21499,5.94331
18999.6,2.43822,1.13949,6.2148,5.9431
18999.7,2.43841,1.13958,6.21522,5.94353
18999.7,2.43818,1.13949,6.21473,5.94323
18999.7,2.43824,1.13952,6.21467,5.94319
18999.7,2.43826,1.13955,6.21525,5.94353
18999.7,2.43838,1.13959,6.21559,5.94375
18999.7,2.43835,1.13952,6.21512,5.94354
