Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.8,-0.00069602,-0.12164,1.53217,-1.26614
19499.8,-0.00287613,-0.123423,1.5302,-1.26808
19499.8,0.000414852,-0.120389,1.53327,-1.26504
19499.8,0.000285138,-0.120569,1.53315,-1.26519
19499.8,-0.000153689,-0.120781,1.53288,-1.26542
19499.8,-0.00194638,-0.122757,1.53082,-1.26739
19499.8,-0.000469851,-0.121517,1.53234,-1.26604
19499.8,-0.00180518,-0.122985,1.53087,-1.26747
19499.8,0.000316444,-0.120499,1.53307,-1.26523
19499.8,-0.00495018,-0.125777,1.52783,-1.27044
19499.8,-0.00450159,-0.125227,1.52843,-1.26995
19499.8,-0.002349,-0.123264,1.53047,-1.26787
19499.7,0.00123157,-0.119848,1.53389,-1.26451
19499.8,-0.00397993,-0.124884,1.52877,-1.26954
19499.8,-0.00149106,-0.122292,1.53135,-1.26698
19499.8,-0.00135596,-0.122232,1.53142,-1.26692
19499.8,-0.000159385,-0.121216,1.53261,-1.26574
19499.7,-0.0005037,-0.121606,1.53212,-1.26618
19499.8,-0.000960843,-0.121847,1.53184,-1.26655
19499.7,-0.00733137,-0.128367,1.52532,-1.27301
19499.8,0.00130839,-0.119694,1.53396,-1.26434
19499.8,-0.000657474,-0.121392,1.5322,-1.26611
19499.8,-0.00259728,-0.123779,1.53001,-1.26821
19499.8,-0.000272656,-0.121183,1.53256,-1.26578
19499.8,-0.000625645,-0.121643,1.53203,-1.2663
