Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44081,1.11664,6.25514,5.67387
19499.7,2.44048,1.11652,6.25463,5.67365
19499.8,2.4404,1.11656,6.25447,5.67345
19499.8,2.44065,1.11653,6.2547,5.6736
19499.8,2.4404,1.11658,6.25488,5.6736
19499.8,2.44058,1.11656,6.25479,5.67366
19499.8,2.44059,1.1165,6.25463,5.67349
19499.8,2.44052,1.11659,6.2547,5.67348
19499.8,2.44056,1.1165,6.25449,5.67325
19499.8,2.4407,1.11656,6.25509,5.67367
19499.8,2.44042,1.11645,6.25444,5.6731
19499.8,2.44052,1.11649,6.2548,5.67323
19499.8,2.44041,1.11644,6.25434,5.67288
19499.8,2.44042,1.11653,6.25473,5.67315
19499.7,2.44063,1.1165,6.25447,5.67315
19499.8,2.44047,1.11642,6.25436,5.67293
19499.8,2.4405,1.11647,6.25464,5.67302
19499.8,2.44058,1.1165,6.25447,5.67287
19499.8,2.44076,1.11649,6.25453,5.67286
19499.7,2.44053,1.11652,6.25465,5.67297
19499.8,2.44081,1.1165,6.25451,5.67288
19499.7,2.44094,1.11651,6.2549,5.67314
19499.8,2.44075,1.11657,6.25483,5.67302
19499.8,2.4405,1.11644,6.25422,5.6726
19499.8,2.44069,1.11651,6.25443,5.6727
19499.8,2.44081,1.11659,6.25487,5.67307
19499.8,2.44097,1.11645,6.25445,5.67291
19499.8,2.44047,1.11648,6.2543,5.67275
19499.8,2.44074,1.11655,6.25482,5.67322
19499.8,2.44083,1.11658,6.25477,5.67336
19499.8,2.44092,1.11655,6.25462,5.67322
19499.8,2.44055,1.11651,6.25466,5.67325
19499.8,2.44052,1.1165,6.25487,5.67341
19499.8,2.44039,1.11648,6.25427,5.67294
19499.8,2.4405,1.11651,6.25439,5.67323
19499.8,2.4405,1.11646,6.25462,5.6731
19499.8,2.44065,1.11651,6.25476,5.67335
19499.8,2.44061,1.11652,6.25447,5.67322
19499.8,2.44059,1.11649,6.25441,5.67317
19499.8,2.44044,1.1165,6.25485,5.67349
19499.8,2.44068,1.11655,6.25477,5.67336
19499.8,2.44031,1.11645,6.25418,5.67291
19499.8,2.44044,1.1164,6.25417,5.67275
19499.8,2.44085,1.11652,6.25497,5.67334
19499.8,2.44081,1.11651,6.2546,5.67313
19499.8,2.44061,1.11646,6.25441,5.67282
19499.8,2.44047,1.11651,6.25439,5.6728
19499.7,2.44041,1.11643,6.25428,5.67282
19499.8,2.44045,1.11644,6.25433,5.67286
19499.8,2.44067,1.11652,6.25476,5.67338
19499.8,2.44052,1.11654,6.25495,5.6733
19499.8,2.44087,1.11654,6.25481,5.67323
19499.8,2.44055,1.11655,6.25496,5.67363
19499.8,2.44073,1.11651,6.25495,5.67333
19499.8,2.44054,1.11651,6.25463,5.67327
19499.8,2.4405,1.11655,6.25481,5.67332
19499.8,2.44058,1.11656,6.25501,5.67346
19499.8,2.44051,1.1164,6.25448,5.67307
19499.8,2.44043,1.11645,6.2544,5.67302
19499.8,2.44047,1.11653,6.25477,5.67341
19499.7,2.44041,1.11656,6.25487,5.67352
19499.8,2.44036,1.11651,6.25447,5.67332
19499.8,2.44056,1.11654,6.25477,5.67359
19499.8,2.44067,1.11657,6.25497,5.6737
19499.8,2.44078,1.11653,6.25501,5.67387
19499.8,2.44057,1.11648,6.2546,5.67355
19499.7,2.44039,1.11653,6.25479,5.67367
19499.7,2.4405,1.11646,6.25473,5.67336
19499.8,2.44053,1.11652,6.25473,5.67364
19499.8,2.44069,1.11657,6.25505,5.67391
19499.8,2.44034,1.1165,6.25428,5.67346
19499.8,2.44066,1.11651,6.25484,5.674
19499.7,2.44028,1.11656,6.25501,5.67405
19499.8,2.4405,1.11656,6.2548,5.67384
19499.8,2.44073,1.11666,6.25521,5.67419
19499.8,2.44037,1.11652,6.25494,5.67408
19499.8,2.44065,1.11654,6.25486,5.67407
19499.8,2.44049,1.11662,6.25547,5.67449
19499.8,2.44078,1.11662,6.25533,5.67452
19499.7,2.44073,1.11661,6.25517,5.6742
19499.8,2.44048,1.11656,6.25486,5.67384
19499.7,2.44064,1.11657,6.25536,5.67413
19499.8,2.44057,1.11655,6.25493,5.67389
19499.8,2.44063,1.11649,6.25468,5.67357
19499.8,2.44067,1.11652,6.25483,5.67368
19499.7,2.44043,1.11654,6.25501,5.67371
