Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
11899.983,2.491,0.43,1.424,3.755,,1.19E+04,2.49E-03,4.30E-04,1.42E-03,3.76E-03
11899.889,2.491,0.43,1.424,3.755,,1.19E+04,2.49E-03,4.30E-04,1.42E-03,3.76E-03
11949.905,2.491,0.434,1.443,3.771,,1.19E+04,2.49E-03,4.34E-04,1.44E-03,3.77E-03
11949.841,2.491,0.434,1.443,3.771,,1.19E+04,2.49E-03,4.34E-04,1.44E-03,3.77E-03
12000,2.49,0.437,1.462,3.787,,1.20E+04,2.49E-03,4.37E-04,1.46E-03,3.79E-03
12049.906,2.49,0.441,1.481,3.803,,1.20E+04,2.49E-03,4.41E-04,1.48E-03,3.80E-03
12049.896,2.49,0.441,1.481,3.803,,1.20E+04,2.49E-03,4.41E-04,1.48E-03,3.80E-03
12099.84,2.49,0.445,1.5,3.819,,1.21E+04,2.49E-03,4.45E-04,1.50E-03,3.82E-03
12138.339,2.49,0.448,1.515,3.832,,1.21E+04,2.49E-03,4.48E-04,1.52E-03,3.83E-03
12149.941,2.49,0.449,1.52,3.836,,1.21E+04,2.49E-03,4.49E-04,1.52E-03,3.84E-03
12199.828,2.49,0.453,1.54,3.853,,1.22E+04,2.49E-03,4.53E-04,1.54E-03,3.85E-03
12199.853,2.49,0.453,1.54,3.853,,1.22E+04,2.49E-03,4.53E-04,1.54E-03,3.85E-03
12249.852,2.49,0.457,1.561,3.87,,1.22E+04,2.49E-03,4.57E-04,1.56E-03,3.87E-03
12299.893,2.489,0.461,1.581,3.887,,1.23E+04,2.49E-03,4.61E-04,1.58E-03,3.89E-03
